time_ps,mindist_nm
45910.0,0.2603962
45920.0,0.2544722
45930.0,0.2387343
45940.0,0.2671719
45950.0,0.2561617
45960.0,0.2556288
45970.0,0.2524359
45980.0,0.2442175
45990.0,0.2518512
46000.0,0.2580509
46010.0,0.2445443
46020.0,0.2486824
46030.0,0.266107
46040.0,0.2448266
46050.0,0.2478491
46060.0,0.254297
46070.0,0.277211
46080.0,0.2569145
46090.0,0.2374237
46100.0,0.2587874
46110.0,0.2702537
46120.0,0.2608638
46130.0,0.1905464
46140.0,0.2546234
46150.0,0.2574745
46160.0,0.2394055
46170.0,0.2463938
46180.0,0.2638389
46190.0,0.2568301
46200.0,0.2442992
46210.0,0.2348486
46220.0,0.2542405
46230.0,0.2489383
46240.0,0.253768
46250.0,0.2621218
46260.0,0.2392024
46270.0,0.2507868
46280.0,0.2661763
46290.0,0.2150238
46300.0,0.2554407
46310.0,0.259888
46320.0,0.2703668
46330.0,0.2484611
46340.0,0.2622598
46350.0,0.2444872
46360.0,0.25982
46370.0,0.2785464
46380.0,0.2438916
46390.0,0.2545661
46400.0,0.2519149
46410.0,0.2720373
46420.0,0.2469598
46430.0,0.2460285
46440.0,0.2617123
46450.0,0.2757773
46460.0,0.2588319
46470.0,0.2532947
46480.0,0.2532864
46490.0,0.2642361
46500.0,0.2411742
46510.0,0.244769
46520.0,0.2119178
46530.0,0.2129858
46540.0,0.275683
46550.0,0.2312576
46560.0,0.2294042
46570.0,0.243218
46580.0,0.2521764
46590.0,0.2321853
46600.0,0.2814353
46610.0,0.2357519
46620.0,0.2334741
46630.0,0.2256572
46640.0,0.2161175
46650.0,0.2469617
46660.0,0.2242186
46670.0,0.22356
46680.0,0.2234459
46690.0,0.2254459
46700.0,0.2214093
46710.0,0.2224902
46720.0,0.2240763
46730.0,0.2359006
46740.0,0.2387029
46750.0,0.2246085
46760.0,0.2248239
46770.0,0.2158916
46780.0,0.2132466
46790.0,0.244806
46800.0,0.2563787
46810.0,0.2803301
46820.0,0.2496518
46830.0,0.2596265
46840.0,0.2609632
46850.0,0.2592988
46860.0,0.2513387
46870.0,0.2243637
46880.0,0.2537003
46890.0,0.262324
46900.0,0.2524345
46910.0,0.2421447
46920.0,0.275755
46930.0,0.2609131
46940.0,0.2418684
46950.0,0.2446959
46960.0,0.2501062
46970.0,0.2454423
46980.0,0.2679004
46990.0,0.252652
47000.0,0.2564233
47010.0,0.2427201
47020.0,0.2578741
47030.0,0.2563547
47040.0,0.2524639
47050.0,0.2413501
47060.0,0.2595095
47070.0,0.1993515
47080.0,0.2589668
47090.0,0.2461398
47100.0,0.197114
47110.0,0.2707108
47120.0,0.2469389
47130.0,0.2539469
47140.0,0.2646808
47150.0,0.2506251
47160.0,0.2597598
47170.0,0.2434907
47180.0,0.2585808
47190.0,0.203718
47200.0,0.1812347
47210.0,0.2686022
47220.0,0.2057764
47230.0,0.2261432
47240.0,0.2050886
47250.0,0.2523671
47260.0,0.2113696
47270.0,0.2308982
47280.0,0.2058783
47290.0,0.2449571
47300.0,0.226969
47310.0,0.2448532
47320.0,0.2501242
47330.0,0.2480202
47340.0,0.2534366
47350.0,0.2521286
47360.0,0.2688593
47370.0,0.234154
47380.0,0.2656504
47390.0,0.2259687
47400.0,0.2657767
47410.0,0.2650247
47420.0,0.2518489
47430.0,0.2474262
47440.0,0.1850025
47450.0,0.1857095
47460.0,0.2443463
47470.0,0.2431339
47480.0,0.2378705
47490.0,0.2593067
47500.0,0.2445465
47510.0,0.2673309
47520.0,0.2506511
47530.0,0.2442807
47540.0,0.2548984
47550.0,0.2342928
47560.0,0.2632604
47570.0,0.2709296
47580.0,0.2650528
47590.0,0.2545187
47600.0,0.2255683
47610.0,0.2746067
47620.0,0.2394019
47630.0,0.2610249
47640.0,0.2689871
47650.0,0.2594318
47660.0,0.2572219
47670.0,0.261184
47680.0,0.255759
47690.0,0.2448407
47700.0,0.2607445
47710.0,0.2610652
47720.0,0.2534603
47730.0,0.2544559
47740.0,0.2581201
47750.0,0.2599577
47760.0,0.256473
47770.0,0.2479717
47780.0,0.2514294
47790.0,0.2442168
47800.0,0.268635
47810.0,0.2419216
47820.0,0.2487106
47830.0,0.2673182
47840.0,0.2578545
47850.0,0.2533101
47860.0,0.2570644
47870.0,0.2328022
47880.0,0.2544383
47890.0,0.2545389
47900.0,0.2530037
47910.0,0.2581572
47920.0,0.261044
47930.0,0.2547983
47940.0,0.2212378
47950.0,0.2442355
47960.0,0.2289714
47970.0,0.2658266
47980.0,0.2547667
47990.0,0.2320589
48000.0,0.2382497
48010.0,0.254169
48020.0,0.2547998
48030.0,0.2561755
48040.0,0.2591586
48050.0,0.2549622
48060.0,0.2715893
48070.0,0.2331713
48080.0,0.2288949
48090.0,0.2609425
